city,pop,lat,lon,tz
Tete - MZ,357000,-16.1564,33.5867,Africa/Maputo
Tetovo - MK,63176,42.0099,20.9714,Europe/Skopje
Tevragh Zeina - MR,48093,18.0989,-15.9885,Africa/Nouakchott
Teyateyaneng - LS,27272,-29.1472,27.749,Africa/Maseru
Thaba-Tseka - LS,16765,-29.522,28.6084,Africa/Maseru
Thai Nguyen - VN,420000,21.5942,105.848,Asia/Bangkok
Thakhek - LA,85000,17.4103,104.831,Asia/Vientiane
Thane - IN,1841488,19.197,72.9635,Asia/Kolkata
Thanh Hoa - VN,850000,19.8,105.767,Asia/Bangkok
Thanh Pho Ba Ria - VN,235192,10.4963,107.168,Asia/Ho_Chi_Minh
Thanh pho Tra Vinh - VN,160310,9.94719,106.342,Asia/Ho_Chi_Minh
The Bronx - US,1385108,40.8499,-73.8664,America/New_York
The Valley - AI,2035,18.217,-63.0578,America/Anguilla
Thessaloniki - GR,317778,40.6407,22.9349,Europe/Athens
Thimphu - BT,98676,27.4661,89.6419,Asia/Thimphu
Thiruvananthapuram - IN,788271,8.4855,76.9492,Asia/Kolkata
Thu Dau Mot - VN,373105,10.9804,106.652,Asia/Ho_Chi_Minh
Thu GJuc - VN,524670,10.8486,106.772,Asia/Ho_Chi_Minh
Thuan An - VN,588616,10.9239,106.714,Asia/Ho_Chi_Minh
Tianjin - CN,11090314,39.1422,117.177,Asia/Shanghai
Tianshui - CN,1212791,34.5795,105.742,Asia/Shanghai
Tiaret - DZ,178915,35.371,1.31699,Africa/Algiers
Tidjikja - MR,13479,18.5564,-11.4271,Africa/Nouakchott
Tijuana - MX,1922523,32.5027,-117.004,America/Tijuana
Tikrit - IQ,42477,34.6158,43.6786,Asia/Baghdad
Tillaberi - NE,30822,14.2071,1.45418,Africa/Niamey
Timbuktu - ML,84208,16.7735,-3.00742,Africa/Bamako
Timimoun - DZ,22086,29.2642,0.23583,Africa/Algiers
Timisoara - RO,250849,45.7537,21.2257,Europe/Bucharest
Tindouf - DZ,45610,27.6711,-8.14743,Africa/Algiers
Tipasa - DZ,15180,36.5897,2.44889,Africa/Algiers
Tirana - AL,418495,41.3274,19.8187,Europe/Tirane
Tiraspol - MD,157000,46.8428,29.6284,Europe/Chisinau
Tirmiz - UZ,182800,37.2242,67.2783,Asia/Samarkand
Tiruchirappalli - IN,1022518,10.8155,78.6965,Asia/Kolkata
Tirunelveli - IN,1435844,8.72742,77.6838,Asia/Kolkata
Tissemsilt - DZ,66084,35.6072,1.81081,Africa/Algiers
Tizi Ouzou - DZ,104312,36.7118,4.04591,Africa/Algiers
Tlaquepaque - MX,650123,20.6412,-103.293,America/Mexico_City
Tlaxcala - MX,84670,19.3178,-98.2385,America/Mexico_City
Tlemcen - DZ,173531,34.8783,-1.315,Africa/Algiers
Toamasina - MG,345107,-18.1492,49.4023,Indian/Antananarivo
Tobruk - LY,141499,32.0896,23.9538,Africa/Tripoli
Tokat - TR,129702,40.3139,36.5544,Europe/Istanbul
Tokushima - JP,267345,34.0667,134.567,Asia/Tokyo
Tokyo - JP,9733276,35.6895,139.692,Asia/Tokyo
Tolanaro - MG,71258,-25.0325,46.9833,Indian/Antananarivo
Toledo - ES,84282,39.8581,-4.02263,Europe/Madrid
Toliara - MG,178725,-23.35,43.6667,Indian/Antananarivo
Toluca - MX,489333,19.2879,-99.6532,America/Mexico_City
Tomsk - RU,574002,56.5005,84.9822,Asia/Tomsk
Tonghua - CN,510000,41.7197,125.926,Asia/Shanghai
Tonsberg - NO,55387,59.2675,10.4076,Europe/Oslo
Topeka - US,125963,39.0483,-95.678,America/Chicago
Torit - SS,20048,4.41177,32.5705,Africa/Juba
Toronto - CA,2794356,43.7064,-79.3986,America/Toronto
Torreon - MX,735340,25.5439,-103.419,America/Monterrey
Torshavn - FO,13200,62.0097,-6.77164,Atlantic/Faroe
Totonicapan - GT,103952,14.9119,-91.3605,America/Guatemala
Tottori-shi - JP,188465,35.5,134.233,Asia/Tokyo
Touba - SN,1120824,14.85,-15.8833,Africa/Dakar
Touggourt - DZ,143270,33.1108,6.07,Africa/Algiers
Toulouse - FR,493465,43.6043,1.44367,Europe/Paris
Tovuz - AZ,177200,40.9925,45.6284,Asia/Baku
Toyama - JP,415844,36.7,137.217,Asia/Tokyo
Tozeur - TN,37370,33.9197,8.13352,Africa/Tunis
Trabzon - TR,244083,41.005,39.7269,Europe/Istanbul
Trang - TH,66713,7.55633,99.6114,Asia/Bangkok
Trat - TH,21590,12.2436,102.515,Asia/Bangkok
Trbovlje - SI,15163,46.1541,15.0518,Europe/Ljubljana
Treinta y Tres - UY,25653,-33.231,-54.3858,America/Montevideo
Trencin - SK,58278,48.8945,18.0444,Europe/Bratislava
Trento - IT,120709,46.0679,11.1211,Europe/Rome
Trenton - US,89620,40.2171,-74.7429,America/New_York
Trieste - IT,204338,45.6495,13.7768,Europe/Rome
Trincomalee - LK,108420,8.5778,81.2289,Asia/Colombo
Trinidad - BO,84259,-14.8322,-64.9034,America/La_Paz
Trinidad - UY,21429,-33.5165,-56.8996,America/Montevideo
Tripoli - LY,1302947,32.8874,13.1873,Africa/Tripoli
Tripoli - LB,229398,34.4335,35.8441,Asia/Beirut
Tripoli - GR,26561,37.5096,22.3788,Europe/Athens
Trnava - SK,62806,48.3777,17.586,Europe/Bratislava
Tromso - NO,41915,69.6489,18.9551,Europe/Oslo
Trujillo - PE,919899,-8.11599,-79.03,America/Lima
Trujillo - VE,71362,9.36587,-70.4366,America/Caracas
Trujillo Alto - PR,75243,18.3547,-66.0074,America/Puerto_Rico
Tsetserleg - MN,21620,47.475,101.454,Asia/Ulaanbaatar
Tsevie - TG,55775,6.42611,1.21333,Africa/Lome
Tshabong - BW,11651,-26.05,22.45,Africa/Gaborone
Tshikapa - CD,634529,-6.41621,20.7999,Africa/Lubumbashi
Tsirang - BT,22376,27.0219,90.1229,Asia/Thimphu
Tsiroanomandidy - MG,47087,-18.7697,46.0465,Indian/Antananarivo
Tsu - JP,274537,34.7333,136.517,Asia/Tokyo
Tsuen Wan - HK,318916,22.3714,114.113,Asia/Hong_Kong
Tubmanburg - LR,22005,6.87064,-10.8211,Africa/Monrovia
Tucson - US,542629,32.2217,-110.926,America/Phoenix
Tucupita - VE,99778,9.06263,-62.0521,America/Caracas
Tuen Mun - HK,507900,22.3917,113.972,Asia/Hong_Kong
Tuguegarao - PH,167297,17.6158,121.723,Asia/Manila
Tukums - LV,16318,56.9676,23.1555,Europe/Riga
Tula - RU,482873,54.1961,37.6182,Europe/Moscow
Tulcan - EC,86498,0.8124,-77.7171,America/Guayaquil
Tulcea - RO,65624,45.1787,28.805,Europe/Bucharest
Tumbes - PE,96946,-3.55592,-80.4426,America/Lima
Tunapuna - TT,17758,10.6524,-61.3888,America/Port_of_Spain
Tunceli - TR,35161,39.0992,39.5435,Europe/Istanbul
Tunis - TN,693210,36.819,10.1658,Africa/Tunis
Tunja - CO,172548,5.54481,-73.3576,America/Bogota
Turin - IT,847287,45.0705,7.68682,Europe/Rome
Turkestan - KZ,227098,43.2946,68.2569,Asia/Almaty
Turkmenabat - TM,234817,39.0733,63.5786,Asia/Ashgabat
Turku - FI,195301,60.4515,22.2687,Europe/Helsinki
Tutong - BN,19151,4.80278,114.649,Asia/Brunei
Tuxtla - MX,604147,16.7536,-93.1158,America/Merida
Tuy Hoa - VN,155921,13.0955,109.321,Asia/Ho_Chi_Minh
Tuyen Quang - VN,104645,21.8236,105.214,Asia/Bangkok
Tver - RU,420065,56.8584,35.9006,Europe/Moscow
Tyumen - RU,768358,57.1522,65.5272,Asia/Yekaterinburg
Ubari - LY,33569,26.5903,12.7751,Africa/Tripoli
Ubon Ratchathani - TH,122533,15.2384,104.849,Asia/Bangkok
Udon Thani - TH,130531,17.4157,102.786,Asia/Bangkok
UEruemqi - CN,3029372,43.801,87.6005,Asia/Urumqi
Ufa - RU,1120547,54.7431,55.9678,Asia/Yekaterinburg
Uige - AO,322531,-7.60874,15.0613,Africa/Luanda
Ujar - AZ,15741,40.519,47.6542,Asia/Baku
Ulaangom - MN,30092,49.9811,92.0667,Asia/Hovd
Ulan Bator - MN,844818,47.9077,106.883,Asia/Ulaanbaatar
Ulan-Ude - RU,360278,51.8265,107.6,Asia/Irkutsk
Ulanqab - CN,550231,40.993,113.133,Asia/Shanghai
Ulcinj - ME,10828,41.9294,19.2244,Europe/Podgorica
Uliastay - MN,16265,47.7417,96.8444,Asia/Hovd
Ulsan - KR,1095014,35.5372,129.317,Asia/Seoul
Ulyanovsk - RU,626540,54.3282,48.3866,Europe/Ulyanovsk
Umea - SE,130224,63.8284,20.2597,Europe/Stockholm
Umm Al Quwain City - AE,59098,25.5647,55.5552,Asia/Dubai
Umuahia - NG,370000,5.52491,7.49461,Africa/Lagos
Undurkhaan - MN,22741,47.3194,110.656,Asia/Ulaanbaatar
Ungheni - MD,34422,47.2102,27.8001,Europe/Chisinau
Uppsala - SE,177074,59.8588,17.6389,Europe/Stockholm
Urganch - UZ,145000,41.5518,60.6314,Asia/Samarkand
Usak - TR,369433,38.6735,29.4058,Europe/Istanbul
Ushuaia - AR,56825,-54.8108,-68.3159,America/Argentina/Ushuaia
Ust-Kamenogorsk - KZ,319067,49.9714,82.6059,Asia/Almaty
Usti nad Labem - CZ,90378,50.6607,14.0323,Europe/Prague
Usulutan - SV,51910,13.3447,-88.4399,America/El_Salvador
Utena - LT,25397,55.4978,25.6046,Europe/Vilnius
Uthai Thani - TH,22219,15.3794,100.025,Asia/Bangkok
Utrecht - NL,375161,52.0908,5.12222,Europe/Amsterdam
Utsunomiya - JP,518757,36.5667,139.883,Asia/Tokyo
Uttaradit - TH,58313,17.6256,100.094,Asia/Bangkok
Uyo - NG,436606,5.05127,7.9335,Africa/Lagos
Uzhhorod - UA,115449,48.6242,22.2947,Europe/Kyiv
Vaasa - FI,67631,63.096,21.6158,Europe/Helsinki
Vadodara - IN,1822221,22.2994,73.2081,Asia/Kolkata
Vaduz - LI,5197,47.1415,9.52154,Europe/Vaduz
Vaesteras - SE,127799,59.6162,16.5528,Europe/Stockholm
Vaexjoe - SE,71282,56.8777,14.8091,Europe/Stockholm
Valdivia - CL,133419,-39.8142,-73.2459,America/Santiago
Valencia - VE,1619470,10.1615,-68.0004,America/Caracas
Valencia - ES,825948,39.4739,-0.37966,Europe/Madrid
Valenzuela - PH,725173,14.7,120.967,Asia/Manila
Valga - EE,11792,57.7778,26.0473,Europe/Tallinn
Valladolid - ES,300618,41.6554,-4.72353,Europe/Madrid
Valledupar - CO,490075,10.4654,-73.2531,America/Bogota
Valletta - MT,6794,35.8997,14.5148,Europe/Malta
